Point Index,Time,Radiation (kWh/m²)
1,3/21/2025 6:00,1.72
2,3/21/2025 6:01,6.2
3,3/21/2025 6:02,5.9
4,3/21/2025 6:03,5.9
5,3/21/2025 6:04,5.9
6,3/21/2025 6:05,5.9
7,3/21/2025 6:06,5.9
8,3/21/2025 6:07,5.9
9,3/21/2025 6:08,5.9
10,3/21/2025 6:09,5.9
11,3/21/2025 6:11,5.72
12,3/21/2025 6:12,4.34
13,3/21/2025 6:13,4.34
14,3/21/2025 6:14,4.34
15,3/21/2025 6:15,4.34
16,3/21/2025 6:16,4.34
17,3/21/2025 6:17,4.34
18,3/21/2025 6:18,4.34
19,3/21/2025 6:19,4.34
20,3/21/2025 6:20,4.34
21,3/21/2025 6:22,2.38
22,3/21/2025 6:23,4.02
23,3/21/2025 6:24,5.9
24,3/21/2025 6:25,5.9
25,3/21/2025 6:26,5.9
26,3/21/2025 6:27,5.9
27,3/21/2025 6:28,5.9
28,3/21/2025 6:29,5.9
29,3/21/2025 6:30,5.9
30,3/21/2025 6:31,5.9
31,3/21/2025 6:33,5.6
32,3/21/2025 6:34,4.34
33,3/21/2025 6:35,4.34
34,3/21/2025 6:36,4.34
35,3/21/2025 6:37,4.34
36,3/21/2025 6:38,4.34
37,3/21/2025 6:39,4.34
38,3/21/2025 6:40,4.34
39,3/21/2025 6:41,4.34
40,3/21/2025 6:42,4.34
41,3/21/2025 6:44,2.16
42,3/21/2025 6:45,4.36
43,3/21/2025 6:46,5.9
44,3/21/2025 6:47,5.9
45,3/21/2025 6:48,5.9
46,3/21/2025 6:49,5.9
47,3/21/2025 6:50,5.9
48,3/21/2025 6:51,5.9
49,3/21/2025 6:52,5.9
50,3/21/2025 6:53,5.9
51,3/21/2025 6:55,5.48
52,3/21/2025 6:56,4.34
53,3/21/2025 6:57,4.34
54,3/21/2025 6:58,4.34
55,3/21/2025 6:59,4.34
56,3/21/2025 7:00,4.34
57,3/21/2025 7:01,4.34
58,3/21/2025 7:02,4.34
59,3/21/2025 7:03,4.34
60,3/21/2025 7:04,4.34
61,3/21/2025 7:06,1.96
62,3/21/2025 7:07,4.68
63,3/21/2025 7:08,5.9
64,3/21/2025 7:09,5.9
65,3/21/2025 7:10,5.9
66,3/21/2025 7:11,5.9
67,3/21/2025 7:12,5.9
68,3/21/2025 7:13,5.9
69,3/21/2025 7:14,5.9
70,3/21/2025 7:15,5.9
71,3/21/2025 7:17,5.36
72,3/21/2025 7:18,4.34
73,3/21/2025 7:19,4.34
74,3/21/2025 7:20,4.34
75,3/21/2025 7:21,4.34
76,3/21/2025 7:22,4.34
77,3/21/2025 7:23,4.34
78,3/21/2025 7:24,4.34
79,3/21/2025 7:25,4.34
80,3/21/2025 7:26,4.34
81,3/21/2025 7:28,1.86
82,3/21/2025 7:29,3.64
83,3/21/2025 7:30,5.9
84,3/21/2025 7:31,5.9
85,3/21/2025 7:32,5.9
86,3/21/2025 7:33,5.9
87,3/21/2025 7:34,5.9
88,3/21/2025 7:35,5.9
89,3/21/2025 7:36,5.9
90,3/21/2025 7:37,5.9
91,3/21/2025 7:39,5.74
92,3/21/2025 7:40,4.34
93,3/21/2025 7:41,4.34
94,3/21/2025 7:42,4.34
95,3/21/2025 7:43,4.34
96,3/21/2025 7:44,4.34
97,3/21/2025 7:45,4.34
98,3/21/2025 7:46,4.34
99,3/21/2025 7:47,4.34
100,3/21/2025 7:48,4.34
101,3/21/2025 7:50,6.72
102,3/21/2025 7:51,5.9
103,3/21/2025 7:52,5.9
104,3/21/2025 7:53,5.9
105,3/21/2025 7:54,5.9
106,3/21/2025 7:55,5.9
107,3/21/2025 7:56,5.9
108,3/21/2025 7:57,5.9
109,3/21/2025 7:58,5.9
110,3/21/2025 7:59,5.82
111,3/21/2025 8:01,4.34
112,3/21/2025 8:02,4.34
113,3/21/2025 8:03,4.34
114,3/21/2025 8:04,4.34
115,3/21/2025 8:05,4.34
116,3/21/2025 8:06,4.34
117,3/21/2025 8:07,4.34
118,3/21/2025 8:08,4.34
119,3/21/2025 8:09,4.34
120,3/21/2025 8:10,5.42
121,3/21/2025 8:12,5.9
122,3/21/2025 8:13,5.9
123,3/21/2025 8:14,5.9
124,3/21/2025 8:15,5.9
125,3/21/2025 8:16,5.9
126,3/21/2025 8:17,5.9
127,3/21/2025 8:18,5.9
128,3/21/2025 8:19,5.9
129,3/21/2025 8:20,5.38
130,3/21/2025 8:21,4.34
131,3/21/2025 8:23,4.34
132,3/21/2025 8:24,4.34
133,3/21/2025 8:25,4.34
134,3/21/2025 8:26,4.34
135,3/21/2025 8:27,4.34
136,3/21/2025 8:28,4.34
137,3/21/2025 8:29,4.34
138,3/21/2025 8:30,4.34
139,3/21/2025 8:31,5.84
140,3/21/2025 8:32,5.9
141,3/21/2025 8:34,5.9
