Point Index,Radiation (kWh/m²),Time
1,0.72,00:00.0
2,2.62,01:05.7
3,1.44,02:11.4
4,1.44,03:17.1
5,1.44,04:22.8
6,1.44,05:28.6
7,1.44,06:34.3
8,1.44,07:40.0
9,1.44,08:45.7
10,1.44,09:51.4
11,1.52,10:57.1
12,2.14,12:02.8
13,2.14,13:08.5
14,2.14,14:14.2
15,2.14,15:19.9
16,2.14,16:25.7
17,2.14,17:31.4
18,2.14,18:37.1
19,2.14,19:42.8
20,2.14,20:48.5
21,1.08,21:54.2
22,1.12,22:59.9
23,1.44,24:05.6
24,1.44,25:11.3
25,1.44,26:17.1
26,1.44,27:22.8
27,1.44,28:28.5
28,1.44,29:34.2
29,1.44,30:39.9
30,1.44,31:45.6
31,1.56,32:51.3
32,2.14,33:57.0
33,2.14,35:02.7
34,2.14,36:08.4
35,2.14,37:14.2
36,2.14,38:19.9
37,2.14,39:25.6
38,2.14,40:31.3
39,2.14,41:37.0
40,2.14,42:42.7
41,0.96,43:48.4
42,1.18,44:54.1
43,1.44,45:59.8
44,1.44,47:05.6
45,1.44,48:11.3
46,1.44,49:17.0
47,1.44,50:22.7
48,1.44,51:28.4
49,1.44,52:34.1
50,1.44,53:39.8
51,1.62,54:45.5
52,2.14,55:51.2
53,2.14,56:56.9
54,2.14,58:02.7
55,2.14,59:08.4
56,2.14,00:14.1
57,2.14,01:19.8
58,2.14,02:25.5
59,2.14,03:31.2
60,2.14,04:36.9
61,0.86,05:42.6
62,1.22,06:48.3
63,1.44,07:54.1
64,1.44,08:59.8
65,1.44,10:05.5
66,1.44,11:11.2
67,1.44,12:16.9
68,1.44,13:22.6
69,1.44,14:28.3
70,1.44,15:34.0
71,1.68,16:39.7
72,2.14,17:45.4
73,2.14,18:51.2
74,2.14,19:56.9
75,2.14,21:02.6
76,2.14,22:08.3
77,2.14,23:14.0
78,2.14,24:19.7
79,2.14,25:25.4
80,2.14,26:31.1
81,0.76,27:36.8
82,1.06,28:42.6
83,1.44,29:48.3
84,1.44,30:54.0
85,1.44,31:59.7
86,1.44,33:05.4
87,1.44,34:11.1
88,1.44,35:16.8
89,1.44,36:22.5
90,1.44,37:28.2
91,1.5,38:33.9
92,2.14,39:39.7
93,2.14,40:45.4
94,2.14,41:51.1
95,2.14,42:56.8
96,2.14,44:02.5
97,2.14,45:08.2
98,2.14,46:13.9
99,2.14,47:19.6
100,2.14,48:25.3
101,2.98,49:31.1
102,1.44,50:36.8
103,1.44,51:42.5
104,1.44,52:48.2
105,1.44,53:53.9
106,1.44,54:59.6
107,1.44,56:05.3
108,1.44,57:11.0
109,1.44,58:16.7
110,1.46,59:22.5
111,2.14,00:28.2
112,2.14,01:33.9
113,2.14,02:39.6
114,2.14,03:45.3
115,2.14,04:51.0
116,2.14,05:56.7
117,2.14,07:02.4
118,2.14,08:08.1
119,2.14,09:13.8
120,1.66,10:19.6
121,1.44,11:25.3
122,1.44,12:31.0
123,1.44,13:36.7
124,1.44,14:42.4
125,1.44,15:48.1
126,1.44,16:53.8
127,1.44,17:59.5
128,1.44,19:05.2
129,1.66,20:11.0
130,2.14,21:16.7
131,2.14,22:22.4
132,2.14,23:28.1
133,2.14,24:33.8
134,2.14,25:39.5
135,2.14,26:45.2
136,2.14,27:50.9
137,2.14,28:56.6
138,2.14,30:02.3
139,1.46,31:08.1
140,1.44,32:13.8
141,1.44,33:19.5
142,1.44,34:25.2
143,1.44,35:30.9
144,1.44,36:36.6
145,1.44,37:42.3
146,1.44,38:48.0
147,1.44,39:53.7
148,1.86,40:59.5
149,2.14,42:05.2
150,2.14,43:10.9
151,2.14,44:16.6
152,2.14,45:22.3
153,2.14,46:28.0
154,2.14,47:33.7
155,2.14,48:39.4
156,2.14,49:45.1
157,1.96,50:50.8
158,1.44,51:56.6
159,1.44,53:02.3
160,1.44,54:08.0
161,1.44,55:13.7
162,1.44,56:19.4
163,1.44,57:25.1
164,1.44,58:30.8
165,1.44,59:36.5
166,1.44,00:42.2
167,2.06,01:48.0
168,2.14,02:53.7
169,2.14,03:59.4
170,2.14,05:05.1
171,2.14,06:10.8
172,2.14,07:16.5
173,2.14,08:22.2
174,2.14,09:27.9
175,2.14,10:33.6
176,1.56,11:39.3
177,1.44,12:45.1
178,1.44,13:50.8
179,1.44,14:56.5
180,1.44,16:02.2
181,1.44,17:07.9
182,1.44,18:13.6
183,1.44,19:19.3
184,1.44,20:25.0
185,1.44,21:30.7
186,2.04,22:36.5
187,2.14,23:42.2
188,2.14,24:47.9
189,2.14,25:53.6
190,2.14,26:59.3
191,2.14,28:05.0
192,2.14,29:10.7
193,2.14,30:16.4
194,2.14,31:22.1
195,3.16,32:27.8
196,1.44,33:33.6
197,1.44,34:39.3
198,1.44,35:45.0
199,1.44,36:50.7
200,1.44,37:56.4
201,1.44,39:02.1
202,1.44,40:07.8
203,1.44,41:13.5
204,1.44,42:19.2
205,2,43:25.0
206,2.14,44:30.7
207,2.14,45:36.4
208,2.14,46:42.1
209,2.14,47:47.8
210,2.14,48:53.5
211,2.14,49:59.2
212,2.14,51:04.9
213,2.14,52:10.6
214,1.84,53:16.3
215,1.44,54:22.1
216,1.44,55:27.8
217,1.44,56:33.5
218,1.44,57:39.2
219,1.44,58:44.9
220,1.44,59:50.6
221,1.44,00:56.3
222,1.44,02:02.0
223,1.48,03:07.7
224,2.14,04:13.5
225,2.14,05:19.2
226,2.14,06:24.9
227,2.14,07:30.6
228,2.14,08:36.3
229,2.14,09:42.0
230,2.14,10:47.7
231,2.14,11:53.4
232,2.14,12:59.1
233,1.64,14:04.8
234,1.44,15:10.6
235,1.44,16:16.3
236,1.44,17:22.0
237,1.44,18:27.7
238,1.44,19:33.4
239,1.44,20:39.1
240,1.44,21:44.8
241,1.44,22:50.5
242,1.68,23:56.2
243,2.14,25:02.0
244,2.14,26:07.7
245,2.14,27:13.4
246,2.14,28:19.1
247,2.14,29:24.8
248,2.14,30:30.5
249,2.14,31:36.2
250,2.14,32:41.9
251,2.14,33:47.6
252,1.44,34:53.4
253,1.44,35:59.1
254,1.44,37:04.8
255,1.44,38:10.5
256,1.44,39:16.2
257,1.44,40:21.9
258,1.44,41:27.6
259,1.44,42:33.3
260,1.44,43:39.0
261,1.88,44:44.7
262,2.14,45:50.5
263,2.14,46:56.2
264,2.14,48:01.9
265,2.14,49:07.6
266,2.14,50:13.3
267,2.14,51:19.0
268,2.14,52:24.7
269,2.14,53:30.4
270,1.78,54:36.1
271,1.4,55:41.9
272,1.44,56:47.6
273,1.44,57:53.3
274,1.44,58:59.0
275,1.44,00:04.7
276,1.44,01:10.4
277,1.44,02:16.1
278,1.44,03:21.8
279,1.44,04:27.5
280,1.84,05:33.2
281,2.14,06:39.0
282,2.14,07:44.7
283,2.14,08:50.4
284,2.14,09:56.1
285,2.14,11:01.8
286,2.14,12:07.5
287,2.14,13:13.2
288,2.14,14:18.9
289,2.9,15:24.6
290,1.88,16:30.4
291,1.44,17:36.1
292,1.44,18:41.8
293,1.44,19:47.5
294,1.44,20:53.2
295,1.44,21:58.9
296,1.44,23:04.6
297,1.44,24:10.3
298,1.44,25:16.0
299,1.82,26:21.7
300,2.14,27:27.5
301,2.14,28:33.2
302,2.14,29:38.9
303,2.14,30:44.6
304,2.14,31:50.3
305,2.14,32:56.0
306,2.14,34:01.7
307,2.14,35:07.4
308,2.02,36:13.1
309,1.44,37:18.9
310,1.44,38:24.6
311,1.44,39:30.3
312,1.44,40:36.0
313,1.44,41:41.7
314,1.44,42:47.4
315,1.44,43:53.1
316,1.44,44:58.8
317,1.44,46:04.5
318,2,47:10.2
319,2.14,48:16.0
320,2.14,49:21.7
321,2.14,50:27.4
322,2.14,51:33.1
323,2.14,52:38.8
324,2.14,53:44.5
325,2.14,54:50.2
326,2.14,55:55.9
327,1.82,57:01.6
328,1.44,58:07.4
329,1.44,59:13.1
330,1.44,00:18.8
331,1.44,01:24.5
332,1.44,02:30.2
333,1.44,03:35.9
334,1.44,04:41.6
335,1.44,05:47.3
336,1.5,06:53.0
337,2.14,07:58.7
338,2.14,09:04.5
339,2.14,10:10.2
340,2.14,11:15.9
341,2.14,12:21.6
342,2.14,13:27.3
343,2.14,14:33.0
344,2.14,15:38.7
345,2.14,16:44.4
346,1.62,17:50.1
347,1.44,18:55.9
348,1.44,20:01.6
349,1.44,21:07.3
350,1.44,22:13.0
351,1.44,23:18.7
352,1.44,24:24.4
353,1.44,25:30.1
354,1.44,26:35.8
355,1.7,27:41.5
356,2.14,28:47.2
357,2.14,29:53.0
358,2.14,30:58.7
359,2.14,32:04.4
360,2.14,33:10.1
361,2.14,34:15.8
362,2.14,35:21.5
363,2.14,36:27.2
364,2.14,37:32.9
365,1.24,38:38.6
366,1.44,39:44.4
367,1.44,40:50.1
368,1.44,41:55.8
369,1.44,43:01.5
370,1.44,44:07.2
371,1.44,45:12.9
372,1.44,46:18.6
373,1.44,47:24.3
374,1.66,48:30.0
375,2.14,49:35.7
376,2.14,50:41.5
377,2.14,51:47.2
378,2.14,52:52.9
379,2.14,53:58.6
380,2.14,55:04.3
381,2.14,56:10.0
382,2.14,57:15.7
383,2.14,58:21.4
384,2.88,59:27.1
385,1.44,00:32.9
386,1.44,01:38.6
387,1.44,02:44.3
388,1.44,03:50.0
389,1.44,04:55.7
390,1.44,06:01.4
391,1.44,07:07.1
392,1.44,08:12.8
393,1.62,09:18.5
394,2.14,10:24.2
395,2.14,11:30.0
396,2.14,12:35.7
397,2.14,13:41.4
398,2.14,14:47.1
399,2.14,15:52.8
400,2.14,16:58.5
401,2.14,18:04.2
402,2.14,19:09.9
403,1.5,20:15.6
404,1.44,21:21.4
405,1.44,22:27.1
406,1.44,23:32.8
407,1.44,24:38.5
408,1.44,25:44.2
409,1.44,26:49.9
410,1.44,27:55.6
411,1.44,29:01.3
412,1.82,30:07.0
413,2.14,31:12.8
414,2.14,32:18.5
415,2.14,33:24.2
416,2.14,34:29.9
417,2.14,35:35.6
418,2.14,36:41.3
419,2.14,37:47.0
420,2.14,38:52.7
421,2.02,39:58.4
422,1.44,41:04.1
423,1.44,42:09.9
424,1.44,43:15.6
425,1.44,44:21.3
426,1.44,45:27.0
427,1.44,46:32.7
428,1.44,47:38.4
429,1.44,48:44.1
430,1.44,49:49.8
431,2.02,50:55.5
432,2.14,52:01.3
433,2.14,53:07.0
434,2.14,54:12.7
435,2.14,55:18.4
436,2.14,56:24.1
437,2.14,57:29.8
438,2.14,58:35.5
439,2.14,59:41.2
440,1.82,00:46.9
441,1.44,01:52.6
442,1.44,02:58.4
443,1.44,04:04.1
444,1.44,05:09.8
445,1.44,06:15.5
446,1.44,07:21.2
447,1.44,08:26.9
448,1.44,09:32.6
449,1.5,10:38.3
450,2.14,11:44.0
451,2.14,12:49.8
452,2.14,13:55.5
453,2.14,15:01.2
454,2.14,16:06.9
455,2.14,17:12.6
456,2.14,18:18.3
457,2.14,19:24.0
458,2.14,20:29.7
459,1.4,21:35.4
460,1.44,22:41.1
461,1.44,23:46.9
462,1.44,24:52.6
463,1.44,25:58.3
464,1.44,27:04.0
465,1.44,28:09.7
466,1.44,29:15.4
467,1.44,30:21.1
468,1.46,31:26.8
469,2.14,32:32.5
470,2.14,33:38.3
471,2.14,34:44.0
472,2.14,35:49.7
473,2.14,36:55.4
474,2.14,38:01.1
475,2.14,39:06.8
476,2.14,40:12.5
477,2.14,41:18.2
478,3.02,42:23.9
479,1.44,43:29.6
480,1.44,44:35.4
481,1.44,45:41.1
482,1.44,46:46.8
483,1.44,47:52.5
484,1.44,48:58.2
485,1.44,50:03.9
486,1.44,51:09.6
487,1.44,52:15.3
488,2.14,53:21.0
489,2.14,54:26.8
490,2.14,55:32.5
491,2.14,56:38.2
492,2.14,57:43.9
493,2.14,58:49.6
494,2.14,59:55.3
495,2.14,01:01.0
496,2.14,02:06.7
497,1.68,03:12.4
498,1.44,04:18.1
499,1.44,05:23.9
500,1.44,06:29.6
501,1.44,07:35.3
502,1.44,08:41.0
503,1.44,09:46.7
504,1.44,10:52.4
505,1.44,11:58.1
506,1.64,13:03.8
507,2.14,14:09.5
508,2.14,15:15.3
509,2.14,16:21.0
510,2.14,17:26.7
511,2.14,18:32.4
512,2.14,19:38.1
513,2.14,20:43.8
514,2.14,21:49.5
515,2.14,22:55.2
516,1.5,24:00.9
517,1.44,25:06.6
518,1.44,26:12.4
519,1.44,27:18.1
520,1.44,28:23.8
521,1.44,29:29.5
522,1.44,30:35.2
523,1.44,31:40.9
524,1.44,32:46.6
525,1.84,33:52.3
526,2.14,34:58.0
527,2.14,36:03.8
528,2.14,37:09.5
529,2.14,38:15.2
530,2.14,39:20.9
531,2.14,40:26.6
532,2.14,41:32.3
533,2.14,42:38.0
534,2,43:43.7
535,1.44,44:49.4
536,1.44,45:55.1
537,1.44,47:00.9
538,1.44,48:06.6
539,1.44,49:12.3
540,1.44,50:18.0
541,1.44,51:23.7
542,1.44,52:29.4
543,1.44,53:35.1
544,2.04,54:40.8
545,2.14,55:46.5
546,2.14,56:52.3
547,2.14,57:58.0
548,2.14,59:03.7
549,2.14,00:09.4
550,2.14,01:15.1
551,2.14,02:20.8
552,2.14,03:26.5
553,1.6,04:32.2
554,1.44,05:37.9
555,1.44,06:43.7
556,1.44,07:49.4
557,1.44,08:55.1
558,1.44,10:00.8
559,1.44,11:06.5
560,1.44,12:12.2
561,1.44,13:17.9
562,1.44,14:23.6
563,2,15:29.3
564,2.14,16:35.0
565,2.14,17:40.8
566,2.14,18:46.5
567,2.14,19:52.2
568,2.14,20:57.9
569,2.14,22:03.6
570,2.14,23:09.3
571,2.14,24:15.0
572,3.2,25:20.7
573,1.44,26:26.4
574,1.44,27:32.2
575,1.44,28:37.9
576,1.44,29:43.6
577,1.44,30:49.3
578,1.44,31:55.0
579,1.44,33:00.7
580,1.44,34:06.4
581,1.44,35:12.1
582,1.96,36:17.8
583,2.14,37:23.5
584,2.14,38:29.3
585,2.14,39:35.0
586,2.14,40:40.7
587,2.14,41:46.4
588,2.14,42:52.1
589,2.14,43:57.8
590,2.14,45:03.5
591,1.88,46:09.2
592,1.44,47:14.9
593,1.44,48:20.7
594,1.44,49:26.4
595,1.44,50:32.1
596,1.44,51:37.8
597,1.44,52:43.5
598,1.44,53:49.2
599,1.44,54:54.9
600,1.44,56:00.6
601,2.14,57:06.3
602,2.14,58:12.0
603,2.14,59:17.8
604,2.14,00:23.5
605,2.14,01:29.2
606,2.14,02:34.9
607,2.14,03:40.6
608,2.14,04:46.3
609,2.14,05:52.0
610,1.68,06:57.7
611,1.44,08:03.4
612,1.44,09:09.2
613,1.44,10:14.9
614,1.44,11:20.6
615,1.44,12:26.3
616,1.44,13:32.0
617,1.44,14:37.7
618,1.44,15:43.4
619,1.64,16:49.1
620,2.14,17:54.8
621,2.14,19:00.5
622,2.14,20:06.3
623,2.14,21:12.0
624,2.14,22:17.7
625,2.14,23:23.4
626,2.14,24:29.1
627,2.14,25:34.8
628,2.14,26:40.5
629,1.48,27:46.2
630,1.44,28:51.9
631,1.44,29:57.7
632,1.44,31:03.4
633,1.44,32:09.1
634,1.44,33:14.8
635,1.44,34:20.5
636,1.44,35:26.2
637,1.44,36:31.9
638,1.84,37:37.6
639,2.14,38:43.3
640,2.14,39:49.0
641,2.14,40:54.8
642,2.14,42:00.5
643,2.14,43:06.2
644,2.14,44:11.9
645,2.14,45:17.6
646,2.14,46:23.3
647,1.84,47:29.0
648,1.36,48:34.7
649,1.44,49:40.4
650,1.44,50:46.2
651,1.44,51:51.9
652,1.44,52:57.6
653,1.44,54:03.3
654,1.44,55:09.0
655,1.44,56:14.7
656,1.44,57:20.4
657,1.82,58:26.1
658,2.14,59:31.8
659,2.14,00:37.5
660,2.14,01:43.3
661,2.14,02:49.0
662,2.14,03:54.7
663,2.14,05:00.4
664,2.14,06:06.1
665,2.14,07:11.8
666,2.14,08:17.5
667,2.12,09:23.2
668,2.82,10:28.9
669,1.44,11:34.7
670,1.44,12:40.4
671,1.44,13:46.1
672,1.44,14:51.8
